,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
94,RBRD11,Híbrido,8715.0,974.0,0.5142,0.5763,0.5777,1.1083,0.8549,0.5763,0.0,0.5763,0.5763,142791897.98,77.11,11302.0,0.0,4
95,RBRF11,Títulos e Val. Mob.,10347.0,5307.0,0.5168,0.5061,0.6067,0.622,0.7202,8.6419,2.2122,2.7296,15.327,159024268.85,97.93,10566.0,5.715,0
96,RBRR11,Títulos e Val. Mob.,10890.0,14762.0,0.7036,0.6456,0.7372,0.7364,0.0,5.2186,5.2947,5.9745,14.7977,262625197.27,96.24,11316.0,5.715,0
98,RDES11,Lajes Corporativas,7375.0,312.0,0.3242,0.4382,0.4035,0.3278,0.3473,0.4382,0.0,0.4382,0.4382,61460913.82,82.83,8904.0,50.53,4
99,RDPD11,Títulos e Val. Mob.,8650.0,111.0,0.5,0.5682,0.4828,0.4468,0.0,0.5682,0.0,0.5682,0.5682,104848606.41,97.26,8894.0,5.715,0
100,RNDP11,Títulos e Val. Mob.,95200.0,33.0,4.69,0.487,0.5019,0.5276,0.5388,0.487,0.0,0.487,0.487,115042597.63,1070.35,8894.0,5.715,0
101,RNGO11,Lajes Corporativas,8269.0,3390.0,0.48,0.5827,0.5713,0.5942,0.6005,0.5827,0.0,0.5827,0.5827,250448048.75,93.59,8835.0,9.9,3
102,SAAG11,Outros,12100.0,6593.0,0.87,0.6938,0.687,0.7265,0.7001,0.6938,0.0,0.6938,0.6938,507597592.62,90.14,13424.0,5.715,28
103,SCPF11,Shoppings,1120.0,1784.0,0.1073,0.9584,0.6039,0.5253,0.5005,0.9584,0.0,0.9584,0.9584,48248561.59,11.49,9750.0,6.95,1
104,SDIL11,Logística,10750.0,5298.0,0.64,0.5664,0.6127,0.6483,0.6565,0.5664,0.0,0.5664,0.5664,317529261.92,92.76,11589.0,0.0,1
105,SHPH11,Shoppings,95607.0,85.0,5.5,0.5753,0.4448,0.4111,0.381,0.5753,0.0,0.5753,0.5753,431598060.05,708.76,13489.0,1.8,1
106,SPTW11,Lajes Corporativas,8000.0,2656.0,0.61,0.7578,0.7941,0.7716,0.7465,0.7578,0.0,0.7578,0.7578,134412659.49,74.76,10701.0,0.0,2
107,TBOF11,Lajes Corporativas,8500.0,6209.0,0.2905,0.3462,0.2957,0.2909,0.253,3.0358,7.5641,7.9365,4.8274,877287397.79,87.29,9737.0,28.2,1
108,TGAR11,Outros,12360.0,8123.0,0.75,0.605,0.7806,0.6501,0.6655,0.605,0.0,0.605,0.605,118737048.37,125.81,9825.0,5.715,0
109,THRA11,Lajes Corporativas,12499.0,3843.0,0.5909,0.4727,0.4781,0.5093,0.4577,0.4727,0.0,0.4727,0.4727,150843636.19,102.42,12203.0,0.0,1
110,TRNT11,Lajes Corporativas,19300.0,434.0,0.6407,0.3463,0.3457,0.3035,0.2593,3.1112,3.9326,4.2925,7.2064,783616559.78,199.11,9693.0,20.1,1
111,TRXL11,Logística,9429.0,2633.0,0.3655,0.44,0.4713,0.4765,0.469,0.44,0.0,0.44,0.44,189069283.2,101.24,9313.0,24.6,6
112,UBSR11,Títulos e Val. Mob.,10520.0,5300.0,0.837,0.7956,0.7883,1.187,0.9862,0.7956,0.0,0.7956,0.7956,149278994.27,97.73,10764.0,5.715,0
113,VGIR11,Títulos e Val. Mob.,10129.0,609.0,0.8604,0.8519,0.0,0.0,0.0,1.5719,1.0,1.8604,2.5938,39131017.8,97.43,10396.0,5.715,0
114,VISC11,Shoppings,10776.0,24704.0,0.6042,0.5647,0.5663,0.5916,0.5824,0.5647,0.0,0.5647,0.5647,824888787.71,101.08,10661.0,4.8,9
115,VLOL11,Lajes Corporativas,9605.0,2358.0,0.3765,0.3883,0.4083,0.3957,0.3969,0.3883,0.0,0.3883,0.3883,152466246.11,85.42,11244.0,0.0,1
116,VOTS11,Títulos e Val. Mob.,9637.0,142.0,0.51,0.5574,0.3833,0.3599,0.0,0.5574,0.0,0.5574,0.5574,80744605.17,97.53,9881.0,5.715,0
117,VRTA11,Títulos e Val. Mob.,12360.0,6448.0,1.02,0.8207,0.8578,0.8997,0.7986,0.8207,0.0,0.8207,0.8207,227917848.27,101.67,12157.0,5.715,0
118,VSHO11,Shoppings,10250.0,406.0,0.7677,0.6979,0.0,0.0,0.0,0.6979,0.0,0.6979,0.6979,213295384.01,101.63,10086.0,6.16,3
119,VTLT11,Logística,10100.0,480.0,1.4067,1.4002,0.9055,0.783,0.0,5.3621,-0.1491,1.249,5.9697,205210319.08,97.03,10410.0,5.715,0
120,WPLZ11,Shoppings,7350.0,232.0,0.3749,0.4946,0.3573,0.4654,0.4393,5.2718,5.2778,5.7985,5.1692,78909249.31,79.76,9215.0,8.6,1
121,XPCM11,Lajes Corporativas,9724.0,4560.0,0.85,0.8646,0.8909,0.8727,0.8448,0.8646,0.0,0.8646,0.8646,199898665.91,82.79,11746.0,0.0,1
122,XPIN11,Outros,11920.0,1714.0,0.77,0.6892,0.5979,0.5306,0.2653,3.1838,2.4954,3.2018,15.3237,191114488.69,115.72,10301.0,0.0,2
123,XPLG11,Logística,10111.0,12556.0,0.67,0.6569,0.6601,0.6638,0.0,0.6569,0.0,0.6569,0.6569,351766570.28,96.08,10523.0,0.0,5
124,XPML11,Shoppings,10600.0,16227.0,0.8841,0.8262,0.6851,0.6034,0.536,6.4316,1.963,2.8055,9.3106,510806897.8,102.47,10345.0,4.6,7
